Language,End Power,Num Iter,Average,
C++,1.000000,5,0.000002,
C++,1.100000,5,0.000000,
C++,1.200000,5,0.000000,
C++,1.300000,5,0.000000,
C++,1.400000,5,0.000001,
C++,1.500000,5,0.000001,
C++,1.600000,5,0.000001,
C++,1.700000,5,0.000001,
C++,1.800000,5,0.000002,
C++,1.900000,5,0.000003,
C++,2.000000,5,0.000003,
C++,2.100000,5,0.000004,
C++,2.200000,5,0.000005,
C++,2.300000,5,0.000006,
C++,2.400000,5,0.000004,
C++,2.500000,5,0.000005,
C++,2.600000,5,0.000006,
C++,2.700000,5,0.000008,
C++,2.799999,5,0.000010,
C++,2.899999,5,0.000013,
C++,2.999999,5,0.000017,
C++,3.099999,5,0.000021,
C++,3.199999,5,0.000028,
C++,3.299999,5,0.000036,
C++,3.399999,5,0.000046,
C++,3.499999,5,0.000060,
C++,3.599999,5,0.000078,
C++,3.699999,5,0.000100,
C++,3.799999,5,0.000130,
C++,3.899998,5,0.000170,
C++,3.999998,5,0.000224,
C++,4.099998,5,0.000292,
C++,4.199998,5,0.000384,
C++,4.299998,5,0.000514,
C++,4.399998,5,0.000662,
C++,4.499998,5,0.000866,
C++,4.599998,5,0.001154,
C++,4.699998,5,0.001484,
C++,4.799998,5,0.001943,
C++,4.899998,5,0.002573,
C++,4.999998,5,0.003458,
C++,5.099998,5,0.004552,
C++,5.199997,5,0.006055,
C++,5.299997,5,0.008069,
C++,5.399997,5,0.010914,
C++,5.499997,5,0.014191,
C++,5.599997,5,0.018950,
C++,5.699997,5,0.025267,
C++,5.799997,5,0.033940,
C++,5.899997,5,0.045664,
C++,5.999997,5,0.061320,
C++,6.099997,5,0.082204,
C++,6.199996,5,0.111306,
C++,6.299996,5,0.150510,
C++,6.399996,5,0.203779,
C++,6.499996,5,0.276324,
C++,6.599996,5,0.376095,
C++,6.699996,5,0.516824,
C++,6.799996,5,0.704023,
C++,6.899996,5,0.960801,
C++,6.999996,5,1.312721,
C++,7.099996,5,1.801840,
C++,7.199996,5,2.471457,
C++,7.299995,5,3.322702,
C++,7.399995,5,4.543062,
C++,7.499995,5,6.216717,
C++,7.599995,5,8.583930,
C++,7.699995,5,11.809146,
C++,7.799995,5,16.518393,
C++,7.899995,5,22.836641,
C++,7.999995,5,31.551519,
C++,8.099995,5,43.493099,
C++,8.199995,5,60.578491,
C++,8.299995,5,83.634567,
C++,8.399996,5,114.958145,
C++,8.499996,5,159.187988,
C++,8.599997,5,222.586090,
C++,8.699997,5,308.356232,
C++,8.799997,5,427.401306,
C++,8.899998,5,594.356812,
C++,8.999998,5,831.430542,
